Name,Website,Best Part
Gary Vaynerchuk,https://www.garyvaynerchuk.com/,Featured video
Hank Green,https://www.hankgreen.com/,Project showcase with personality
John Green,http://www.johngreenbooks.com/,Compact project showcase
Teju Cole,http://www.tejucole.com/,NA
CGP Grey,http://www.cgpgrey.com/,Minimalist project list
Grant Baldwin,http://grantbaldwin.com/,Clear navigation
Zachary Sexton,https://zacharysexton.com/,Concise tagline
Rebecca Parson,http://www.soundsgoodcopy.com/,Clear contact information
Al Kavadlo,http://www.alkavadlo.com/,Branding with personality
Dr. Steven Kinnear,http://stevenkinnear.com/,Unconventional branding
Desiree Adaway,http://desireeadaway.com/,Prominent photo
James Ranson,https://jamesranson.com/,Branding
Roxine Kee,http://www.roxinekee.com/,Bold mission statement
Elizabeth Lundin,http://beautifully-weird-words.com/me/,"Affirmative, inviting homepage"
Kimberly Horton,http://kimberlyhorton.com/,Well-written “Start Here” page
Taha Khan,https://taharkhan.com/,Showcasing accomplishments
Andrew Huang,http://andrewhuang.com/,Unique photo
Tommy Edison,http://blindfilmcritic.com/,Innovative brand
Tom Scott,https://www.tomscott.com/,Self-deprecating humor
Clarissa Rodriguez,http://sherocksatcollege.com/,Unconventional contact method
Nasos Papadopoulos,http://www.metalearn.net/,"Inviting, confident photo"
Matthew Barby,https://www.matthewbarby.com/,Compelling tagline
Isa Adney,http://isaadney.com/,NA
Tasha Meys,http://www.tastefullytash.com/,Elegant work showcase
Shanice Miller,https://www.debtfreecollegegrad.com/,Authoritative logo
Edna Cerrillos,https://ednatheux.com/,Image links
Roxane Gay,http://www.roxanegay.com/,Minimalism with personality
Charli Marie,https://charlimarie.com/,Tasteful animation
Diogo Correia,https://diogotc.com/,Unconventional portfolio design
Anna Ellenberger,http://annaellenberger.com/,Dramatic color scheme
Scott Santens,http://www.scottsantens.com/,Concise design and navigation
Sara Stenman,http://sarastenman.format.com/,Intense minimalism
Chris Brogan,http://chrisbrogan.com/,Clear value proposition
Sean O’Connor,http://seanoconn.org/,Concise and memorable
Joel Runyon,https://joelrunyon.com/,Pick 3 things
Taylor Pearson,https://taylorpearson.me/,Humility
Tam Pham,http://www.tampham.co/,Compelling business pitch
Pat Flynn,https://patflynn.com/,A compelling story
Scott Young,https://www.scotthyoung.com/blog/,Document your experiments
James Clear,https://jamesclear.com/,A blend of storytelling and practical advice
Nat Eliason,https://www.nateliason.com/,Write about what interests you
Austin Kleon,https://austinkleon.com/,Show your work
Cal Newport,http://calnewport.com/,Write less; say more
Tania Rascia,https://www.taniarascia.com/,Editorial integrity and transparency
Kristin Wong,https://www.kristinwong.com/,Use media logos
Aja Frost,http://www.ajafrost.com/,"Classic, easy navigation"
Martin Boehme,http://martinboeh.me/,One-page portfolio design
Ashley Diers,http://ashleyndiers.com/,Images are compelling 
Daniel Grindrod,https://www.danielgrindrod.com/,Highlight reel
Jon Miron,http://jonmiron.com/,NA
